"id","condition","stimulus","key","response","RT","correct"
"ss3998","Memorized","<h1>berry</h1>","y","y",710,1
"ss3998","Unrelated_Unmemorized","<h1>warm</h1>","n","n",926,1
"ss3998","Related_Unmemorized","<h1>fruit</h1>","n","y",874,0
"ss3998","Unrelated_Unmemorized","<h1>web</h1>","n","n",611,1
"ss3998","Unrelated_Unmemorized","<h1>England</h1>","n","n",703,1
"ss3998","Memorized","<h1>juice</h1>","y","y",1812,1
"ss3998","Memorized","<h1>honey</h1>","y","n",3161,0
"ss3998","Memorized","<h1>cake</h1>","y","y",943,1
"ss3998","Related_Unmemorized","<h1>sweet</h1>","n","y",610,0
"ss3998","Unrelated_Unmemorized","<h1>show</h1>","n","n",612,1
"ss3998","Unrelated_Unmemorized","<h1>sit</h1>","n","n",579,1
"ss3998","Unrelated_Unmemorized","<h1>calm</h1>","n","n",677,1
"ss3998","Unrelated_Unmemorized","<h1>climb</h1>","n","n",662,1
"ss3998","Memorized","<h1>sugar</h1>","y","y",570,1
"ss3998","Unrelated_Unmemorized","<h1>pin</h1>","n","n",523,1
"ss3998","Memorized","<h1>taste</h1>","y","n",1455,0
"ss3998","Memorized","<h1>chocolate</h1>","y","n",905,0
"ss3998","Unrelated_Unmemorized","<h1>smooth</h1>","n","n",653,1
"ss3998","Unrelated_Unmemorized","<h1>hand</h1>","n","n",627,1
"ss3998","Memorized","<h1>toast</h1>","y","y",534,1
"ss3998","Memorized","<h1>jam</h1>","y","y",822,1
"ss3998","Unrelated_Unmemorized","<h1>legs</h1>","n","n",602,1
"ss3998","Unrelated_Unmemorized","<h1>lethargic</h1>","n","n",533,1
"ss3998","Related_Unmemorized","<h1>bread</h1>","n","n",954,1
"ss3998","Memorized","<h1>butter</h1>","y","y",805,1
"ss3998","Memorized","<h1>flour</h1>","y","y",716,1
"ss3998","Memorized","<h1>food</h1>","y","y",1245,1
"ss3998","Unrelated_Unmemorized","<h1>queen</h1>","n","n",768,1
"ss3998","Unrelated_Unmemorized","<h1>hard</h1>","n","n",952,1
"ss3998","Unrelated_Unmemorized","<h1>mad</h1>","n","n",703,1
"ss3998","Memorized","<h1>door</h1>","y","y",993,1
"ss3998","Unrelated_Unmemorized","<h1>cat</h1>","n","n",525,1
"ss3998","Memorized","<h1>glass</h1>","y","y",645,1
"ss3998","Unrelated_Unmemorized","<h1>boy</h1>","n","n",647,1
"ss3998","Unrelated_Unmemorized","<h1>bumpy</h1>","n","n",729,1
"ss3998","Memorized","<h1>screen</h1>","y","y",644,1
"ss3998","Unrelated_Unmemorized","<h1>snow</h1>","n","n",671,1
"ss3998","Memorized","<h1>house</h1>","y","y",824,1
"ss3998","Memorized","<h1>shutter</h1>","y","y",691,1
"ss3998","Unrelated_Unmemorized","<h1>fast</h1>","n","n",550,1
"ss3998","Unrelated_Unmemorized","<h1>piano</h1>","n","n",638,1
"ss3998","Related_Unmemorized","<h1>window</h1>","n","y",806,0
"jhm77","Memorized","<h1>glass</h1>","y","y",2245,1
"jhm77","Memorized","<h1>house</h1>","y","y",1381,1
"jhm77","Unrelated_Unmemorized","<h1>bumpy</h1>","n","n",1681,1
"jhm77","Unrelated_Unmemorized","<h1>fast</h1>","n","n",1177,1
"jhm77","Unrelated_Unmemorized","<h1>snow</h1>","n","n",2832,1
"jhm77","Memorized","<h1>door</h1>","y","y",1085,1
"jhm77","Memorized","<h1>screen</h1>","y","y",1037,1
"jhm77","Related_Unmemorized","<h1>window</h1>","n","n",2795,1
"jhm77","Unrelated_Unmemorized","<h1>boy</h1>","n","n",945,1
"jhm77","Unrelated_Unmemorized","<h1>piano</h1>","n","n",962,1
"jhm77","Memorized","<h1>shutter</h1>","y","n",1567,0
"jhm77","Unrelated_Unmemorized","<h1>cat</h1>","n","n",969,1
"jhm77","Unrelated_Unmemorized","<h1>toe</h1>","n","n",1608,1
"jhm77","Memorized","<h1>low</h1>","y","n",1296,0
